"id_predmet";"kod";"nazev"
"396";"DEEE11";"Regional economics                                                                            "
"846";"DEIX01Y";"Database Systems                                                                                  "
"1167";"DELX01Y   ";"English - PhD course B 2                                                                               "
"1169";"DELX05Y   ";"German  - PhD course B 2                                                                             "
"1170";"DELX03Y   ";"French  - PhD course  - B 2                                                                               "
"1172";"DELX04Y   ";"Italian  - PhD course B 2                                                                             "
"1174";"DELX07Y";"Spanish - PhD study B 2                                                                               "
"1175";"DELX06Y   ";"Russian  - PhD course B 2                                                                              "
"1176";"DELX02Y   ";"Czech  - PhD course B 2                                                                                "
"1603";"DEEE08Y";"Agrarian policy - for doctoral study                                                                "
"1604";"DEEE07Y";"Econometrics - Quantitative methods for doctoral branch Branch and business economy                 "
"1610";"DEEE01Y";"Economy for doctoral branch Management                                                              "
"1630";"DEIE05Y   ";"Mathematical Theory of Programms                                                                    "
"1840";"DERE05Y";"Marketing Management                                                                                "
"1842";"DERE09Y   ";"Prognostics and Planning                                                                            "
"1915";"DEIE06Y   ";"Measurement and rating of the information systems quality                                           "
"1939";"DEEE06Y";"Economics of product verticals                                                                      "
"1949";"DESE05Y   ";"Computing Statistics                                                                                "
"1950";"DESE11Y   ";"Statistical Multivariate Methods                                                                    "
"1952";"DESE14Y   ";"Statistical Procedures SAS (for AF)                                                                 "
"1953";"DESE08Y   ";"Socioeconomic Statistics                                                                            "
"1957";"DESE10Y   ";"Categorial Data Analysis                                                                           "
"1960";"DERE07Y";"MANAGEMENT CONSULTING                                                                               "
"1975";"DERE06Y   ";"Personnel management                                                                                "
"1976";"DERE04Y   ";"Communication in management                                                                         "
"1984";"DEEE04Y";"ECONOMICS for doctoral study of branch Informational management                                     "
"1992";"DEEE05Y";"ECONOMICS - doctoral study of branch Branch and business economics                                  "
"1995";"DEEE10Y";"MATHEMATICAL ECONOMY for doctoral branch System engineering                                         "
"2004";"DERE11Y   ";"MANAGEMENT THEORY                                                                                   "
"2005";"DERX03Y   ";"MANAGEMENT AND MARKETING                                                                            "
"2018";"DESE07Y   ";"Statistical Methods in Management                                                                   "
"2020";"DESE06Y   ";"Statistical Techniques  for Questionnaire Processing                                                "
"2034";"DENE05Y   ";"Macroeconomics                                                                                      "
"2040";"DENE04Y   ";"Microeconomics                                                                                      "
"2049";"DENE02Y   ";"Economic policies                                                                                   "
"2052";"DERE10Y   ";"Strategic Management                                                                                "
"2062";"DEEE09Y";"Economics and politics of environment of life                                                       "
"2073";"DERE08Y";"Business Operation and Economics                                                                    "
"2075";"DENE03Y   ";"International Economics                                                                             "
"2092";"DEEE03Y";"Investment and Long-term financing - doctoral study                                                 "
"2104";"DENE01Y   ";"History of Economic Thought                                                                         "
"2135";"DEEE02Y";"Economics of world agriculture                                                                      "
"3686";"DEPE01";"The psychology in management                                                                                "
"3740";"DESE04Y   ";"Selected Topics in Actuarial Mathematics                                                               "
"3840";"DEPE03Y   ";"Cross-cultural Communication (as applied to business agenda)"
"3900";"DESE12Y";"Statistics for Sociologists                                                                           "
"3952";"DESE02Y   ";"Statistical Methods in Marketing                                                                    "
"3960";"DESA15Y   ";"Statistical Methods (for AF)                                                                     "
"3967";"DESE03Y   ";"Statistical Analysis of  Economic  Time  Series                                              "
"3968";"DESE09Y   ";"Statistical Prognostics                                                                           "
"3969";"DESE13Y   ";"Statistical  Modeling                                                                            "
"3972";"DESE01Y   ";"Statistics -  for doctoral study                                                                  "
"3992";"DESE17Y   ";"Statistics  in  Computer Science                                                                      "
"4030";"DEST16Y   ";"Statistics in Computer Science                                 "
"4107";"DEIX14Y   ";"Artificial intelligence and knowledge engineering                                                         "
"4112";"DEIX07Y   ";"Operating systems                                                                                  "
"4113";"DEIE16E   ";"Computer systems II                                                                               "
"4143";"DETE04Y   ";"Information Management                                                                               "
"4226";"DERE13Y   ";"Strategic management "
"4294";"DERE12Y";"FINANCIAL MANAGEMENT                                                                                 "
"4318";"DEAE03Y";"Quantitative Methods and Modelling                                                         "
"4319";"DEAE09Y";"Soft Systems, Methodology and Applications                                                                "
"4768";"DEUE04Y   ";"FINANCE AND CREDIT                                                                                    "
"4769";"DEUE01Y   ";"Finance of Regional Authorities                                                                        "
"4840";"DEIX12Y";"Systems engineering"
"4843";"DEIX31Y";"Information engineering                                                                               "
"4844";"DEIX32Y";"Information systems                                                                                "
"4933";"DEUE03Y";"Tax System                                                                                    "
"4940";"DAE02Y    ";"Project Management Methods                                                                      "
"4944";"DEUE02Y   ";"Accounting systems of Agrokomplex                                                                "
"5046";"DEUE05Y   ";"Quality And Food Certification                                                                      "
"5087";"DEUE08Y   ";" BANKING                                                                                      "
"5100";"DEUE07Y   ";"Mezinárodní obchod                                                                                  "
"5237";"DEUE11Y";"Europeand Standards for Property Evaluation"
"5469";"DEUE09Y";"Financial Management                                                                               "
"5486";"DEIX11Y   ";"Systems integration                                                                                 "
"5518";"DEIX03Y";"Geographic information system and image processing"
"5880";"DAZA01Y";"Dendrology"
"5912";"DAZA04Y";"Vegetable Production"
"5914";"DAZA05Y";"Fruit Production"
"5916";"DAZA03Y";"Orchard Management"
"5918";"DAZA02Y";"Floriculture"
"6174";"DEHE03Y   ";"Social Networks Acters and Institutions in Regional Development   DS                                   "
"6239";"DETE01Y   ";"Information Technologies                                                                             "
"6265";"DEJE01Y   ";"Vybrané kapitoly z práva                                                                            "
"6412";"DEHE02Y";"Social Development                                                                       "
"6697";"DLRX09Y";"Forestry management"
"6699";"DLRX12Y";"Forest Valuation"
"6701";"DLRX11Y";"Valuation of natural resources"
"6731";"DEHE04Y";" Politics of regional Developmen                                                       "
"6732";"DEHE01Y";"Sociology of Rural Areas                                                                              "
"6826";"DAA01Y";"Applied Meteorology and Climatology"
"6880";"DLDX15Y";"Forest Dendrology"
"6930";"DLBX12Y";"Soil and Soil erosion control "
"7003";"DLPX02Y";"Silviculture DSP"
"7061";"DLDX13Y";"Physiology and Wood Anatomy"
"7063";"DLVX01Y";"Hydrology and hydraulics"
"7065";"DLVX03Y";"Water management"
"7067";"DLVX19Y";"Sanitary engineering"
"7069";"DLVX02Y";"Hydrology and hydraulics"
"7071";"DLVX18Y";"Transport of contaminants in watershed"
"7075";"DLDX11Y";"Forest Trees Anatomy "
"7077";"DLDX12Y";"Anatomy and Physiology of Forest Trees"
"7095";"DLPX01Y";"Forest Ecology"
"7098";"DEEE17Y";"European integration                                                                                "
"7102";"DLUX01Y";"Landscape Ecology"
"7104";"DLUX05Y";"Landscape ecological application"
"7123";"DLDX21Y";"Modern Methods in Forest Tree Breeding"
"7125";"DLDX25Y";"Breeding Strategies and Programmes for Forest Tree Species"
"7127";"DLDX26Y";"Conservation and Use of Forest Tree Genetic Resources"
"7130";"DLDX17Y";"Forest Genetics and Forest Tree Breeding"
"7144";"DLOX02Y";"Forest protection - forest pathology "
"7146";"DLOX03Y";"Mykology"
"7147";"DLUX04Y";"Environmental impact assessment"
"7149";"DLDX22Y";"Regional Dendrology"
"7151";"DLDX24Y";"Special Dendrology"
"7153";"DLDX19Y";"Trees and Shrubs within Plant Classification System."
"7160";"DIRI13Y";"Crop production in Tropics and Subtropics "
"7168";"DIRI16Y";"Plant breeding and seed production in TS"
"7170";"DIRI01Y";"General Crop Production in TS"
"7176";"DIZI04Y";"Poultry husbandry in TS"
"7178";"DIZI05Y";"Pig husbandry in TS"
"7180";"DIZI09Y";"Chov ovcí v TS"
"7182";"DIZI10Y";"Chov koz v TS"
"7184";"DIZI01Y";"Speciální zootechnika v TS"
"7186";"DIZI03Y";"Výživa a krmení hospodářských zvířat v TS"
"7188";"DIZI06Y";"Výroba krmných směsí v TS"
"7191";"DLEX45Y";"Environmental loads, Risks and remadiation technologies"
"7192";"DLE46Y";"Ochrana životního prostředí"
"7193";"DLE46Y";"Environment planning and conservation"
"7195";"DLEX33Y";"Entomology"
"7197";"DLEX35Y";"Insect ecology"
"7201";"DLOX04Y";"General phytopathology"
"7202";"DLDX20Y";"Geobiocenology"
"7203";"DLDX23Y";"Public vegetation"
"7204";"DLDX14Y";"Forestry botany"
"7206";"DLBX11Y";"Land Consolidation Planning"
"7207";"DLBX31Y";"Soil Water Regimes Arrangement "
"7208";"DLBX24Y";"Water resources outlines and watershed management"
"7209";"DLBX21Y";"Small water streams and reservoirs"
"7211";"DLBX23Y";"Matematical modelling of hydrological proceses"
"7216";"DLDX16Y";"Phytosociology & Forest Site Classification"
"7221";"DLTX63Y";"Timber transport"
"7223";"DLTX64Y";"Harvesting"
"7227";"DLEX16Y";"Ecology of wetlands"
"7231";"DLSX02Y";"Countryside constructions"
"7240";"DLSX07Y";"Numerical methods and Programming"
"7242";"DLEX15Y";"Methods of ecosystem studies "
"7244";"DLEX37Y";"Ecology of mammals"
"7246";"DLEX38Y";"Zoogeography"
"7250";"DLEX21Y";"General Botany"
"7258";"DLEX22Y";"Advanced botany "
"7260";"DLEX23Y";"Geobotany"
"7263";"DLEX41Y";"Nature protection"
"7265";"DLEX43Y";"Environment conservation"
"7267";"DLEX42Y";"Nature and landscape conservation"
"7269";"DLEX44Y";"Choice aspects of environment"
"7283";"DLEX12Y";"Ecology"
"7284";"DLEX14Y";"Ecology of habitats"
"7286";"DLEX11Y";"General ecology"
"7288";"DLEX32Y";"Vertebratea zoology"
"7290";"DLEX31Y";"Zoology"
"7292";"DLEX34Y";"Animals ecology"
"7294";"DLEX36Y";"Bird ecology"
"7297";"DLBX33Y";"Land Reclamation and Waste Management                         "
"7298";"DLEX17Y";"Biological monitoring"
"7300";"DLHX02Y";"Forest mensuration"
"7306";"DLHX12Y";"Applied Statistics"
"7308";"DLRX07Y";"Forestry policy"
"7310";"DLRX05Y";"Environmental Economics"
"7312";"DLRX04Y";"Economic of Forest Management"
"7314";"DLRX01Y";"Ekonometrie"
"7316";"DLRX10Y";"Marketing in Forestry"
"7318";"DLOX06Y";"General Entomology"
"7320";"DLOX07Y";"Systematic entomology"
"7322";"DLOX05Y";"Forest protection - insect pests"
"7324";"DLOX01Y";"Forest protectin - klimatic factors and vertebrates"
"7326";"DLEX24Y";"Plant ecology"
"7327";"DLBX32Y";"Forest amelioration"
"7328";"DLHX01Y";"Forest Management"
"7329";"DLHX03Y";"Forest Yield"
"7342";"DLVX24Y";"Mathematical modelling of hydrological processes"
"7344";"DLVX23Y";"Mathematical modelling of hydrological processes"
"7349";"DLTX54Y";"Biomass utilization"
"7354";"DLTX50Y";"Mechanization of the forest management"
"7355";"DLBX22Y";"Small waterstreams and torrent control"
"7359";"DLBX41Y";"Geografical information systems"
"7361";"DL0X08Y";"Game management"
"7363";"DLTX60Y";"Wood Anatomy"
"7365";"DLTX53Y";"Machine theory and construction"
"7368";"DLTX52Y";"Wood dividing theory"
"7370";"DLTX55Y";"Bases of the terramechanics"
"7372";"DLTX56Y";"Forestry mechanization"
"7374";"DLTX57Y";"Frest production systems modelling "
"7376";"DLTX58Y";"Forest technology influence to the living environment "
"7378";"DLTX66Y";"Technical mechanics for LI"
"7380";"DLRX06Y";"Forestry and agriculture economics"
"7382";"DLRX03Y";"Forestry economics"
"7384";"DLRX02Y";"Economics"
"7386";"DLTX59Y";"Wood science"
"7388";"DLTX65Y";"Minor forest produce"
"7390";"DLHX04Y";"Dendrochronology"
"7392";"DLTX67Y";"Forest opening up."
"7394";"DLTX61Y";"Wood chemistry"
"7396";"DLTX62Y";"Wood Preservation"
"7407";"DLEX13Y";"Population ecology of plants and animals"
"7430";"DLDX18Y";"Physiology forest tree species"
"7433";"DLHX11Y";"Mathematical Modelling"
"7475";"DLTX51Y";"Mechanizace v lesním hospodářství"
"7478";"DLEX18Y";"Sběr a zpracování ekologických dat"
"7616";"DEHE05Y";"Regionální rozvoj v evropském právním prostoru                                                      "
"7833";"DKOF01Y";"Finance of Regional Authorities "
"7852";"DLEA51Y";"Ekologie"
"7971";"DLDX23y";"Veřejná zeleň"
"8039";"DELX08Y";"Portuguesse - PhD course B 2"
"8059";"DEJE02Y";"Právní regulace veřejné správy a regionálního rozvoje"
"8090";"DIRI10";"Ekology in TS"
"8092";"DIRI17Y";"Tissue culture Techniques"
"8127";"DABX02Y";"Plant Physiology for Ph.D. studies"
"8149";"DIRI02Y";"Special crop production in TS "
"8821";"DACA04Y";"Chemistry of Natural Compounds"
"8824";"DACA05Y";"Special Analytical Chemistry"
"8826";"DACX01Y";"Biochemistry"
"8832";"DACX02Y";"Special Plant Biochemistry"
"8834";"DACX03Y";"Special Animal Biochemistry"
"8848";"DESA14Y   ";" Statistical Procedures SAS (for AF)                                                                 "
"8850";"DARA01Y";"Evaluation of Quality of Plant Products"
"8852";"DAPA02Y";"Advanced Soil Science"
"8857";"DADA04Y";"Quality of Animal Products"
"8875";"DAMA01Y";"Microbiology for Plant Sciences"
"8877";"DAMA02Y";"Microbiology for Animal Sciences"
"8892";"DAHX01Y";"Agrochemistry and Plant Nutrition"
"8900";"DAGA04Y";"Molecular Genetics"
"8902";"DAGA07Y";"Special Moleculary Genetics"
"8933";"DAVX03Y";"Physiology of Animals"
"9106";"DABA01Y";"Botany"
"9140";"DACA03Y";"Special Animal Biochemistry"
"9141";"DACA02Y";"Special Plant Biochemistry"
"9142";"DAGA01Y";"Genetics and Farm Animal Breeding"
"9143";"DAGX02Y";"Molecular Genetics and Plant Breeding"
"9144";"DAGX03Y";"Animal Genetics"
"9145";"DAGX05Y";"General Animal Science"
"9146";"DASA02Y";"Dairying"
"9147";"DAOA01Y";"General and Applied Nematology"
"9148";"DAOA12Y";"Applied Agricultural Zoology "
"9149";"DAOA13Y";"Pests of Field and Horticultural Crops "
"9150";"DAOA16Y";"Biological and Non-Chemical Control  "
"9151";"DAOA17Y";"Protection of Ornamentals "
"9152";"DAOX02Y";"Plant Protection"
"9153";"DAOA06Y";"Plant Pathology - Mycology"
"9154";"DAOA15Y";"Diseases of Field and Horticultural Crops "
"9155";"DAOA04Y";"Methods in Agricultural Entomology"
"9156";"DAOA08Y";"Monitoring and Management in Plant Protection"
"9157";"DAOA14Y";"General Phytopathology "
"9158";"DAOA05Y";"Plant Virology"
"9159";"DAOA03Y";"Phytobacteriology"
"9160";"DAPA03Y";"Hydropedology"
"9161";"DATA02Y";"Pasture Management"
"9162";"DATA01Y";"Meadow Management "
"9163";"DATA06Y";"Lawn and Turf Management"
"9164";"DATA04Y";"Arable Land Forage Production "
"9165";"DARA05Y";"Teaching about Crop Production"
"9166";"DARA02Y";"Cereal Crops"
"9167";"DARA04Y";"Oil Crops"
"9168";"DARA03Y";"Root Crops Growing"
"9169";"DADA01Y";"Poultry Production"
"9170";"DADA02Y";"Fur Animals and Rabbit Production"
"9171";"DADA03Y";"Pig Production"
"9172";"DADA05Y";"Animal Husbandry"
"9173";"DASA01Y";"Cattle Production "
"9175";"DASA05Y";"Sheep Production "
"9176";"DASA06Y";"Horse Breeding"
"9177";"DAVX02Y";"Anatomy of Livestock"
"9178";"DAVA04Y";"Prevention of Diseases and Infertility"
"9179";"DAVA05Y";"Animal Hygiene"
"9180";"DAEA03Y";"Fish Breeding "
"9181";"DAEA02Y";"Parasitoses of Domesticated Animals and Their Prevention "
"9182";"DAEA01Y";"Agroecology"
"9187";"DASA03Y";"Reproduction"
"9193";"DAKA01Y";"Animal Nutrition"
"9211";"DLDX27Y";"Quantitative-Genetic Methods in Forest Tree Breeding"
"9212";"DTJT19Y";"Renewal of machines and CMMS"
"9213";"DTJX59Y";"Service and Renewal of Machines"
"9221";"DTDT23Y";"Constructional Materials and Manufacturing Technology"
"9232";"DAAA02Y";"Weed Science"
"9233";"DAAA03Y";"General Crop Husbandry"
"9234";"DAAA04Y";"Farming Practices"
"9235";"DTAT01Y";"Inženýrská matematika"
"9236";"DTAX03Y";"Mathematical modelling"
"9237";"DTAX05Y";"Financial mathematics"
"9238";"DTAX06Y";"Preparing and evaluation of experiment"
"9239";"DTJT20Y";"Tribologie"
"9240";"DTHX31Y";"Rationalization of Electric Power Consumption"
"9241";"DTIX38Y";"Data Analysis and Interpretation"
"9244";"DTAT08Z";"Inženýrská a finanční matematika"
"9246";"DTAT08Y";"Inženýrská a finanční matematika"
"9247";"DTAT01Z";"Inženýrská matematika"
"9250";"DTGX52Y";"Transport, handling and storage technology(SDZ)"
"9251";"DTGT28Y";"Technological logistics of buildings"
"9252";"DTGX29Y";"Environmental technology of buildings "
"9253";"DTGX56Y";"Technology and equipment of buildings in animal production"
"9254";"DTEX04Y";"Ecology Aspects of Machines\` Operating"
"9255";"DTJT22Y";"Technology of Maintenance, Diagnostics and Repairs of Machines"
"9256";"DTJT21Y";"Jakost, spolehlivost a servisní logistika strojů"
"9257";"DTBT18Y";"Physical Power Engineering"
"9258";"DTGX27Y";"Technique  and Technology of Waste Processing"
"9259";"DTHT32Y";"Modelling in Energetics"
"9260";"DTGX26Y";"Technologie a technika v živočišné výrobě"
"9261";"DTGX48Y";"Technological Facilities of Constructions (SDZ)"
"9264";"DTFX42Y";"Technologie a technika pro zpracování půdy a pěstování rostlin"
"9265";"DTFX41Y";"Precizní zemědělství"
"9266";"DTIT39Y";"Automation of Construction Techniques"
"9267";"DTFT54Y";"Zemědělské stroje a motorová vozidla (SDZ)"
"9268";"DTET13Y";"Transport Engine Vehicles"
"9269";"DTET45Y";"Traffic Engineering"
"9270";"DTET57Y";"Traffic Engineering (SDZ)"
"9271";"DTET44Y";"Vehicles Diagnostics"
"9272";"DTET46Y";"Active and Passive Safety of Vehicles"
"9273";"DTFX43Y";"Technology and Technique for Plant Products Harvesting"
"9276";"DTHT30Y";"Electronics in Energetic Circuits and Systems"
"9277";"DTHT33Y";"Mechatronics"
"9278";"DTHT36Y";"Data Acquiring from Databases"
"9279";"DTHT35Y";"Sensor Information Systems"
"9285";"DTHX37Y";"Applications of the Robots in a Product"
"9286";"DTHX61Y";"Automated Production Control"
"9298";"DTHX34Y";"Modern Measuring Systems for Research Activities "
"9299";"DTIX09Y";"Machinery Management"
"9417";"DIZI08Y";"Hygiena a technologie zpracování živočišných produktů v tropech a subtropech"
"9419";"DIZI12Y";"Certifikace a hodnocení kvality potravin v tropech a subtropech"
"9421";"DITI50Y";"Ekonomika zemědělství a přírodních zdrojů "
"9423";"DITI01Y";"Mechanizace zemědělství pro rostlinnou produkci tropů a subtropů"
"9425";"DITI15E";"Mechanizace zemědělství pro živočišnou produkci tropů a subtropů"
"9427";"DITI07Y";"Technika zpracování a skladování zemědělských produktů tropů a subtropů"
"9429";"DITI05Y";"Mechanizace pěstování plantážních plodin"
"9431";"DITI04Y";"Aplikované strojní inženýrství "
"9433";"DITI13Y";"Konvenční a nekonvenční manipulace s materiálem"
"9435";"DITI03Y";"Alternativní zdroje energií v tropech a subtropech"
"9437";"DITI12Y";"Technologické systémy v zemědělství tropů a subtropů "
"9439";"DITI08Y";"Využití strojně traktorového parku"
"9441";"DITI52Y";"Ekonomika a geografie světového hospodářství "
"9443";"DITI56Y";"Projekty a plánování v zemědělství rozvojových zemích "
"9445";"DITI62Y";"Služby a poradenství v rozvojových zemích "
"9447";"DITI53Y";"Ekonomika odvětví národního hospodářství rozvojových zemí "
"9449";"DITI61Y";"Zahraniční obchod s tropickými a subtropickými produkty "
"9451";"DITI51Y";"Management v zemědělství rozvojových zemí "
"9453";"DITI54Y";"Marketing v zemědělství rozvojových zemí "
"9455";"DITI55Y";"Organizace a řízení zemědělství v tropů a subtropů"
"9457";"DITI58Y";"Řízení farem v tropech a subtropech "
"9459";"DITI57Y";"Finančnictví a bankovnictví"
"9465";"DEJE03Y";"Právní regulace veřejné správy a regionálního rozvoje"
"9539";"DIDI094";"Buildings and mechanization of animal production"
"9706";"DTIX40Y";"Using Machinery in Crop Production"
"10388";"DEAE01    ";"Systémová metodologie (Kvantitativní metody - Matematické modelování)                               "
"10389";"DEAE05Y   ";"Teorie systémů a aplikovaná systémová věda                                                          "
"10390";"DEAE01Y   ";"Matematické modelování                                                                              "
"10460";"DETE03Y   ";"Information Technologies and e-business                                                   "
"10461";"DETEO2Y   ";"Infrastructure of Information Systems                                                   "
"10503";"DLVX";"Hydropedologie"
"10532";"DEJE02Y";"Mezinárodní právo a právo EU"
"10749";"DAOA18Y";"Diagnostic Methods in Plant Protection"
"10752";"DAOA19Y";"Resistance of Plants to Pests and Pathogens"
"10765";"DAPA06Y";"Soil Chemistry"
"10767";"DAPA05Y";"Forestry Soil Science"
"10796";"DAVX07Y";"Cell Physiology"
"10802";"DAVX08Y";"Reproductive biotechnology of farm animals"
"10803";"DAVX09Y";"Ethical implication of farm animal biotechnology"
"10820";"DAVA01Y";"Avian Anatomy and Physiology"
"10822";"DAEA04Y";"Helminthology"
"10829";"DAGA06Y";"Special moleculary genetics"
"10885";"DLZX13Y";"PILAŘSKÁ TECHNOLOGIE"
"10890";"DLZX09Y";"LESNÍ PŘIDRUŽENÁ VÝROBA"
"10891";"DLZX11Y";"NAUKA O DŘEVĚ"
"10892";"DLZX12Y";"OCHRANA DŘEVA"
"10893";"DLZX06Y";"CHEMIE DŘEVA"
"10906";"DLZX19Y";"VYUŽITÍ BIOMASY"
"10918";"DLZX10Y";"NÁBYTKÁŘSKÉ STROJE"
"10931";"DLZX01Y";"ANATOMIE DŘEVA"
"11009";"DAPX09Y";"Pedometrics, geostatistics"
"11016";"DAPX07Y";"Soil taxonomy and mapping"
"11063";"DAVX10Y";"Fundamentals of Livestock Physiology"
"11076";"DAPX08Y";"Soil Contamination and Degradation"
"11102";"DELX10Y";"Chinese Language for PhD studies  B2"
"11120";"DTBX17Y";"Physical and technogical properties of agricultural materials and products"
